Gentleman and Numb are the sequels of Gangnam Style and Faint.	Gentleman is the sequel of Gangnam Style.	entailment
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Numb is the sequel of Faint.	entailment
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Gentleman is the sequel of Faint.	contradiction
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Numb is the sequel of Gangnam Style.	contradiction
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Gentleman is the sequel of Gangnam Style and Faint.	contradiction
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Numb is the sequel of Gangnam Style and Faint.	contradiction
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Gentleman and Numb are the sequels of Gangnam Style.	contradiction
Gentleman and Numb are the sequels of Gangnam Style and Faint.	Gentleman and Numb are the sequels of Faint.	contradiction
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Meridiano is the sequel of Pequeño mundo.	entailment
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Master of Puppets is the sequel of Ride the Lightning.	entailment
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Meridiano is the sequel of Ride the Lightning.	contradiction
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Master of Puppets is the sequel of Pequeño mundo.	contradiction
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Meridiano is the sequel of Pequeño mundo and Ride the Lightning.	contradiction
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Master of Puppets is the sequel of Pequeño mundo and Ride the Lightning.	contradiction
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Meridiano and Master of Puppets are the sequels of Pequeño mundo.	contradiction
Meridiano and Master of Puppets are the sequels of Pequeño mundo and Ride the Lightning.	Meridiano and Master of Puppets are the sequels of Ride the Lightning.	contradiction
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Jessheim is located in Ullensaker.	entailment
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Rødberg is located in Nore og Uvdal.	entailment
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Jessheim is located in Nore og Uvdal.	contradiction
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Rødberg is located in Ullensaker.	contradiction
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Jessheim is located in Ullensaker and Nore og Uvdal.	contradiction
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Rødberg is located in Ullensaker and Nore og Uvdal.	contradiction
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Jessheim and Rødberg are located in Ullensaker.	contradiction
Jessheim and Rødberg are located in Ullensaker and Nore og Uvdal.	Jessheim and Rødberg are located in Nore og Uvdal.	contradiction
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Finnish Wikipedia is written in Finnish.	entailment
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Slovak Wikipedia is written in Slovak.	entailment
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Finnish Wikipedia is written in Slovak.	contradiction
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Slovak Wikipedia is written in Finnish.	contradiction
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Finnish Wikipedia is written in Finnish and Slovak.	contradiction
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Slovak Wikipedia is written in Finnish and Slovak.	contradiction
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Finnish Wikipedia and Slovak Wikipedia are written in Finnish.	contradiction
Finnish Wikipedia and Slovak Wikipedia are written in Finnish and Slovak.	Finnish Wikipedia and Slovak Wikipedia are written in Slovak.	contradiction
Emma and The Shining are followed by Northanger Abbey and The Stand.	Emma is followed by Northanger Abbey.	entailment
Emma and The Shining are followed by Northanger Abbey and The Stand.	The Shining is followed by The Stand.	entailment
Emma and The Shining are followed by Northanger Abbey and The Stand.	Emma is followed by The Stand.	contradiction
Emma and The Shining are followed by Northanger Abbey and The Stand.	The Shining is followed by Northanger Abbey.	contradiction
Emma and The Shining are followed by Northanger Abbey and The Stand.	Emma is followed by Northanger Abbey and The Stand.	contradiction
Emma and The Shining are followed by Northanger Abbey and The Stand.	The Shining is followed by Northanger Abbey and The Stand.	contradiction
Emma and The Shining are followed by Northanger Abbey and The Stand.	Emma and The Shining are followed by Northanger Abbey.	contradiction
Emma and The Shining are followed by Northanger Abbey and The Stand.	Emma and The Shining are followed by The Stand.	contradiction
Holiday and Calling Time are the sequels of Burning Up and Crash & Burn.	Holiday is the sequel of Burning Up.	entailment
Holiday and Calling Time are the sequels of Burning Up and Crash & Burn.	Calling Time is the sequel of Crash & Burn.	entailment
Holiday and Calling Time are the sequels of Burning Up and Crash & Burn.	Holiday is the sequel of Crash & Burn.	contradiction
